,title_clean,profit_class,revenues_clean,gross_profit,return,costs_clean,release_date,release_week,length_clean,main_topic,site,number_topic
136,Psycho Beach Party,0.0,268117.0,-1365941.5,-0.910627666667,1500000.0,,,95,lda_topic_68,https://en.wikipedia.org/wiki/Psycho_Beach_Party,53
137,Quills,0.0,18000000.0,-4500000.0,-0.333333333333,13500000.0,2001-03-08,10.0,124.0,lda_topic_497,https://en.wikipedia.org/wiki/Quills,50
138,Ready to Rumble,0.0,12500000.0,-17750000.0,-0.739583333333,24000000.0,,,107,lda_topic_497,https://en.wikipedia.org/wiki/Ready_to_Rumble,50
139,Red Planet,0.0,33500000.0,-63250000.0,-0.790625,80000000.0,2000-11-10,45.0,106,lda_topic_77,https://en.wikipedia.org/wiki/Red_Planet_(film),55
140,Reindeer Games,0.0,32168970.0,-25915515.0,-0.617036071429,42000000.0,2000-02-25,8.0,104,lda_topic_68,https://en.wikipedia.org/wiki/Reindeer_Games,53
141,Remember the Titans,1.0,136700000.0,38350000.0,1.27833333333,30000000.0,2000-09-29,39.0,113,lda_topic_109,https://en.wikipedia.org/wiki/Remember_the_Titans,2
142,The Replacements,0.0,50100000.0,-24950000.0,-0.499,50000000.0,,,118,lda_topic_109,https://en.wikipedia.org/wiki/The_Replacements_(film),2
143,Requiem for a Dream,0.0,7400000.0,-800000.0,-0.177777777778,4500000.0,2000-10-27,43.0,101.0,lda_topic_497,https://en.wikipedia.org/wiki/Requiem_for_a_Dream,50
144,Return to Me,0.0,36609995.0,-5695002.5,-0.237291770833,24000000.0,2000-04-07,14.0,115,lda_topic_497,https://en.wikipedia.org/wiki/Return_to_Me,50
145,The Road to El Dorado,0.0,76400000.0,-56800000.0,-0.597894736842,95000000.0,2000-03-31,13.0,891,lda_topic_277,https://en.wikipedia.org/wiki/The_Road_to_El_Dorado,15
146,Road Trip,1.0,119800000.0,43900000.0,2.74375,16000000.0,2000-05-19,20.0,941,lda_topic_497,https://en.wikipedia.org/wiki/Road_Trip_(film),50
147,Romeo Must Die,1.0,91000000.0,20500000.0,0.82,25000000.0,2000-03-22,12.0,115,lda_topic_68,https://en.wikipedia.org/wiki/Romeo_Must_Die,53
148,Rugrats in Paris: The Movie,1.0,103300000.0,21650000.0,0.721666666667,30000000.0,2000-11-17,46.0,782,lda_topic_81,https://en.wikipedia.org/wiki/Rugrats_in_Paris:_The_Movie,56
150,The Rugrats Movie,1.0,140900000.0,46450000.0,1.93541666667,24000000.0,1998-11-20,47.0,803,lda_topic_68,https://en.wikipedia.org/wiki/The_Rugrats_Movie,53
151,Rules of Engagement,0.0,71700000.0,-24150000.0,-0.4025,60000000.0,2000-04-07,14.0,128,lda_topic_109,https://en.wikipedia.org/wiki/Rules_of_Engagement_(film),2
152,Scary Movie,1.0,278000000.0,120000000.0,6.31578947368,19000000.0,2000-07-07,27.0,881,lda_topic_68,https://en.wikipedia.org/wiki/Scary_Movie,53
154,Scottsboro: An American Tragedy,,6123.0,,,,2001-01-19,3.0,84,lda_topic_497,https://en.wikipedia.org/wiki/Scottsboro:_An_American_Tragedy,50
155,Scream 3,1.0,161800000.0,40900000.0,1.0225,40000000.0,2000-02-04,5.0,117.0,lda_topic_330,https://en.wikipedia.org/wiki/Scream_3,22
157,Scream 2,1.0,172400000.0,62200000.0,2.59166666667,24000000.0,1997-12-12,50.0,120.0,lda_topic_330,https://en.wikipedia.org/wiki/Scream_2,22
158,Screwed,,7201701.0,,,,2000-05-12,19.0,81,lda_topic_345,https://en.wikipedia.org/wiki/Screwed_(2000_film),25
159,Sexy Beast,,,,,,2002-03-08,10.0,88,lda_topic_68,https://en.wikipedia.org/wiki/Sexy_Beast,53
160,Shadow of the Vampire,0.0,11200000.0,-2400000.0,-0.3,8000000.0,2000-12-29,52.0,921,lda_topic_77,https://en.wikipedia.org/wiki/Shadow_of_the_Vampire,55
161,Shaft,1.0,107200000.0,7600000.0,0.165217391304,46000000.0,2000-06-16,24.0,99,lda_topic_68,https://en.wikipedia.org/wiki/Shaft_(2000_film),53
163,Shanghai Noon,0.0,99300000.0,-5350000.0,-0.0972727272727,55000000.0,2000-05-26,21.0,110,lda_topic_345,https://en.wikipedia.org/wiki/Shanghai_Noon,25
165,The Skulls,0.0,50800000.0,-9600000.0,-0.274285714286,35000000.0,2000-03-31,13.0,107,lda_topic_68,https://en.wikipedia.org/wiki/The_Skulls_(film),53
166,Small Time Crooks,0.0,29934477.0,-10032761.5,-0.40131046,25000000.0,2000-05-19,20.0,95,lda_topic_68,https://en.wikipedia.org/wiki/Small_Time_Crooks,53
167,Snatch,1.0,83600000.0,31800000.0,3.18,10000000.0,2001-01-19,3.0,102.0,lda_topic_497,https://en.wikipedia.org/wiki/Snatch_(film),50
168,Snow Day,1.0,62500000.0,18250000.0,1.40384615385,13000000.0,2000-02-11,6.0,89,lda_topic_68,https://en.wikipedia.org/wiki/Snow_Day_(film),53
169,Songcatcher,,3050934.0,,,,2000-01-25,4.0,109,lda_topic_68,https://en.wikipedia.org/wiki/Songcatcher,53
170,Space Cowboys,1.0,128900000.0,4450000.0,0.0741666666667,60000000.0,2000-08-01,31.0,130.0,lda_topic_330,https://en.wikipedia.org/wiki/Space_Cowboys,22
