,name,title_clean,revenues_clean,gross_profit,costs_clean
560,Tommy Luske,Peter Pan,87400000.0,39700000.0,4000000.0
1571,Dyllan Christopher,Unaccompanied Minors,21900000.0,-15050000.0,26000000.0
86,Stockard Channing,Isn't She Great,3003296.0,-42498352.0,44000000.0
193,Stockard Channing,Where The Heart Is,40863718.0,5431859.0,15000000.0
645,Stockard Channing,Anything Else,13585075.0,-11207462.5,18000000.0
1232,Stockard Channing,Must Love Dogs,58405313.0,-797343.5,30000000.0
824,Vanessa Hudgens,Thirteen,10100000.0,3050000.0,2000000.0
1912,Vanessa Hudgens,High School Musical 3: Senior Year,274300000.0,126150000.0,11000000.0
2065,Vanessa Hudgens,Bandslam,12225023.0,-13887488.5,20000000.0
2524,Vanessa Hudgens,Beastly,43000000.0,4500000.0,17000000.0
2688,Vanessa Hudgens,Sucker Punch,89800000.0,-37100000.0,82000000.0
2831,Vanessa Hudgens,Journey 2: The Mysterious Island,335300000.0,88650000.0,79000000.0
3022,Vanessa Hudgens,The Frozen Ground,5617460.0,-16391270.0,19200000.0
3165,Vanessa Hudgens,Spring Breakers,31700000.0,10850000.0,5000000.0
3514,Shakira,Zootopia,1024000000.0,362000000.0,150000000.0
3157,John Gallagher Jr,Short Term 12,2300000.0,150000.0,1000000.0
3517,John Gallagher Jr,10 Cloverfield Lane,110200000.0,40100000.0,15000000.0
2644,Tom Mison,One Day,56706628.0,13353314.0,15000000.0
2848,Cody Horn,Magic Mike,167200000.0,76600000.0,7000000.0
272,Kelly Macdonald,Gosford Park,87800000.0,24100000.0,19800000.0
1233,Kelly Macdonald,Nanny McPhee,122489822.0,36244911.0,25000000.0
1857,Kelly Macdonald,Choke,3982459.0,-1408770.5,3400000.0
2759,Kelly Macdonald,Brave,540400000.0,85200000.0,185000000.0
500,Treat Williams,Hollywood Ending,14839383.0,-8580308.5,16000000.0
1226,Treat Williams,Miss Congeniality 2: Armed and Fabulous,101393569.0,-9303215.5,60000000.0
2033,Treat Williams,What Happens in Vegas,219300000.0,74650000.0,35000000.0
